% Model,Na_0709.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 24 2024, 16:37"
% Dimension,1
% Nodes,508
% Expressions,1
% Description,线结果图
% 空间坐标，x 分量 (m),liion.cs_surface/5000[mol/m^3]
2.6E-4,0.3720473139798825
2.603989352754277E-4,0.3719686918231133
2.607978705508555E-4,0.37189006966634414
2.611968058262832E-4,0.37181144750957495
2.615957411017109E-4,0.3717328253528058
2.6199467637713864E-4,0.37165420319603654
2.623936116525664E-4,0.37157558103926736
2.627925469279942E-4,0.3714969588824982
2.631914822034219E-4,0.371418336725729
2.6359041747884963E-4,0.3713397145689598
2.6402862481379844E-4,0.3712545680497
2.644668321487473E-4,0.3711694215304401
2.649050394836961E-4,0.3710842750111803
2.653432468186449E-4,0.37099912849192046
2.6578145415359373E-4,0.37091398197266057
2.662196614885426E-4,0.37082883545340073
2.666578688234914E-4,0.3707436889341409
2.670960761584402E-4,0.370658542414881
2.67534283493389E-4,0.37057339589562116
2.6801601299286583E-4,0.3704858864578552
2.6849774249234265E-4,0.37039837702008926
2.6897947199181946E-4,0.37031086758232323
2.694612014912962E-4,0.37022335814455726
2.6994293099077304E-4,0.3701358487067913
2.7042466049024985E-4,0.3700483392690253
2.7090638998972667E-4,0.36996082983125933
2.7138811948920343E-4,0.36987332039349335
2.7186984898868024E-4,0.3697858109557274
2.723996088383557E-4,0.3696550397037465
2.7292936868803116E-4,0.36952426845176567
2.7345912853770667E-4,0.3693934971997848
2.7398888838738207E-4,0.36926272594780396
2.745186482370576E-4,0.3691319546958231
2.750484080867331E-4,0.36900118344384225
2.7557816793640855E-4,0.3688704121918614
2.7610792778608395E-4,0.36873964093988054
2.7663768763575946E-4,0.3686088696878997
2.772203230436337E-4,0.36846012793596294
2.77802958451508E-4,0.3683113861840262
2.783855938593823E-4,0.3681626444320895
2.7896822926725654E-4,0.3680139026801527
2.795508646751308E-4,0.367865160928216
2.801335000830051E-4,0.3677164191762793
2.8071613549087934E-4,0.3675676774243425
2.8129877089875366E-4,0.3674189356724058
2.8188140630662793E-4,0.367270193920469
2.8252216299880646E-4,0.36712182768524276
2.8316291969098504E-4,0.3669734614500166
2.838036763831636E-4,0.3668250952147904
2.844444330753422E-4,0.36667672897956416
2.8508518976752073E-4,0.366528362744338
2.857259464596993E-4,0.36637999650911174
2.863667031518779E-4,0.3662316302738855
2.870074598440565E-4,0.36608326403865926
2.87648216536235E-4,0.3659348978034331
2.883527980859788E-4,0.3657694084355811
2.890573796357225E-4,0.3656039190677291
2.8976196118546627E-4,0.36543842969987705
2.9046654273521E-4,0.365272940332025
2.9117112428495376E-4,0.365107450964173
2.9187570583469747E-4,0.364941961596321
2.9258028738444124E-4,0.364776472228469
2.9328486893418496E-4,0.36461098286061694
2.9398945048392873E-4,0.3644454934927649
2.9476407418143556E-4,0.36427745969007574
2.9553869787894244E-4,0.3641094258873866
2.9631332157644937E-4,0.3639413920846975
2.970879452739562E-4,0.3637733582820083
2.9786256897146307E-4,0.36360532447931915
2.9863719266896995E-4,0.36343729067663
2.994118163664768E-4,0.3632692568739409
3.0018644006398365E-4,0.3631012230712517
3.0096106376149053E-4,0.36293318926856255
3.0181296174426283E-4,0.3627604001671378
3.0266485972703524E-4,0.3625876110657131
3.035167577098076E-4,0.36241482196428837
3.0436865569257994E-4,0.3622420328628636
3.0522055367535224E-4,0.3620692437614388
